run_id,date,phase,exp_id,task_type,ssl_model,ssl_checkpoint,layer_strategy,layer,dim_red,dim,feature_fusion,classifier,loss,imbalance_method,augmentation,split_scheme,fold,seed,threshold_policy,macro_f1,per_class_f1_json,auprc,notes,status,artifacts_path,plan_order,week_window,thematic_group,core35_flag,must_run,depends_on_exp_ids,stop_go_gate,priority
manual_c2_001,2026-03-26,Phase 2,C2,multi-class,wav2vec2-base,pretrained,best-layer,9,PCA,32,"SSL+handcrafted-groups",CNN-1D,CrossEntropy,None,None,LOSO,fold0,42,,0.554962,,,Full-dataset GPU run complete for target=Block; best ablation setting was ssl_plus_zcr (fusion_dim=34),done,results/tables/c2_run_report.json,11,Week 6,Fusion,YES,YES,B1,Clear additive value by group ablation,Critical
manual_c3_001,2026-03-26,Phase 2,C3,multi-class,"wav2vec2-base+benchmark-w2v2-base",pretrained,temporal-concat,multi,Linear-proj,64,"Multi-SSL concat",Transformer,CrossEntropy,None,None,LOSO,fold0,42,,0.567393,,,Full-dataset GPU run complete for target=Block; two-stream transformer fusion ran with matched fold0 caches,done,results/tables/c3_run_report.json,12,Week 6,Fusion,YES,YES,A1|B1,Improves over single-model fusion baseline,High
manual_c5_001,2026-03-31,Phase 2,C5,multi-class,Whisper-large+HuBERT-large,pretrained,cross-model-fusion,multi,PCA,32,"Whisper+HuBERT",BiLSTM+Attention,BCE/CE,None,None,LOSO,fold0,42,0.5,0.6282,"{Block:0.6311,Prolongation:0.6168,SoundRep:0.6093,WordRep:0.5679,Interjection:0.7160}",0.6548,Whisper+HuBERT BiLSTM fusion; mean F1=0.6282; attention ~50/50 per stream,done,results/tables/c5_run_report.json,13,Week 6,Fusion,YES,YES,B1,Improves per-type F1 for hard classes,High
manual_c6_001,2026-03-31,Phase 2,C6,multi-class,HuBERT-large+WavLM-SV,pretrained,speaker-normalized,21,PCA,32,"SSL+speaker-embed",CNN-1D,BCE/CE,None,None,LOSO,fold0,42,0.5,0.5617,"{Block:0.6221,Prolongation:0.5672,SoundRep:0.5276,WordRep:0.4679,Interjection:0.6237}",0.6768,HuBERT+WavLM-SV speaker embed fusion CNN-1D; mean F1=0.5617; speaker identity adds limited value vs Whisper,done,results/tables/c6_run_report.json,14,Week 6,Fusion,YES,NO,B1|F3,Better speaker-independence without F1 drop,Medium
manual_f1_001,2026-03-31,Phase 2,F1,multi-label,HuBERT-large,pretrained,best-layer,21,PCA,"32 + MFCC-21",None,CNN-1D,Focal,class-balanced-sampler,None,LOSO,fold0,42,0.5,0.5497,"{Block:0.5959,Prolongation:0.5833,SoundRep:0.5126,WordRep:0.4151,Interjection:0.6418}",0.5812,Multi-label focal loss CNN; macro-F1=0.5497; high recall (0.726) low precision (0.458),done,results/tables/f1_run_report.json,15,Week 6,Robustness,YES,YES,C1|C2,Minority F1 gain without precision collapse,Critical
manual_f4_001,2026-03-31,Phase 2,F4,multi-label,HuBERT-large,pretrained,best-layer,21,PCA,"32 + MFCC-21",None,Conformer+Sigmoid,BCE,None,None,LOSO,fold0,42,0.5,0.5448,"{Block:0.6055,Prolongation:0.5779,SoundRep:0.5007,WordRep:0.4208,Interjection:0.6189}",0.5605,Multi-label Conformer BCE; macro-F1=0.5448; ~same as F1 with 15% more params,done,results/tables/f4_run_report.json,16,Week 6,Robustness,YES,YES,F1,Improves co-occurrence subset F1,Critical
manual_d1_001,2026-04-01,Phase 3,D1,multi-label,HuBERT-large,pretrained,best-layer,21,PCA,32,None,Conformer-4block,MultiLabelSoftMarginLoss,class-balanced-sampler,None,LOSO,fold0,42,0.5,0.5477,"{Block:0.5905,Prolongation:0.5701,SoundRep:0.5095,WordRep:0.4435,Interjection:0.6249}",0.6016,4-block Conformer MLSM on PCA-32; macro-F1=0.5477; best AUPRC (0.602) best precision (0.574); WordRep+0.028 vs F1,done,results/tables/d1_run_report.json,17,Weeks 7-8,Deep,YES,YES,F4,Top-2 deep model candidate by mean macro-F1,Critical
manual_d2_001,2026-04-01,Phase 3,D2,multi-label,HuBERT-large,pretrained,best-layer,21,PCA,64,None,BiLSTM+AttnPool,MultiLabelSoftMarginLoss,class-balanced-sampler,None,LOSO,fold0,42,0.5,0.4528,"{Block:0.5042,Prolongation:0.4796,SoundRep:0.4536,WordRep:0.3578,Interjection:0.4688}",0.5332,BiLSTM+AttnPool PCA-64; macro-F1=0.453; attn focuses on PCA-01/02 not PCA-00; optional documented,done,results/tables/d2_run_report.json,18,Week 8,Deep,YES,NO,D1,Useful attention insights and stable fold score,Medium
manual_d4_001,2026-04-01,Phase 3,D4,multi-label,HuBERT-large,pretrained,best-layer,21,PCA,32,None,Transformer,MultiLabelSoftMarginLoss,class-balanced-sampler,None,LOSO,fold0,42,0.5,0.2719,"{Block:0.4404,Prolongation:0.0816,SoundRep:0.4028,WordRep:0.2716,Interjection:0.1633}",0.4331,Conv-free Transformer MLSM; macro-F1=0.272 - FAIL; depthwise-conv proven critical; D1 beats by +0.276,done,results/tables/d4_run_report.json,19,Week 8,Deep,YES,YES,D1,Competitive with Conformer on mean macro-F1,High
manual_d5_001,2026-04-01,Phase 3,D5,multi-task,HuBERT-large,pretrained,best-layer,21,PCA,"32 + MFCC-21",None,Shared-CNN-2heads,BCE+MLSM,class-balanced-sampler,None,LOSO,fold0,42,0.5,0.4894,"{Block:0.5774,Prolongation:0.4398,SoundRep:0.4575,WordRep:0.3926,Interjection:0.5797}",0.5405,Multi-task CNN; type macro-F1=0.489 (< F1 0.550); detect AUROC=0.811 unique value; high detect-pre=0.97,done,results/tables/d5_run_report.json,20,Week 8,Deep,YES,YES,D1|F1,Outperforms single-task baseline,High
manual_d8_001,2026-04-01,Phase 3,D8,multi-label,HuBERT-large,pretrained,best-layer,21,PCA,32,None,Prototypical-Net,episodic-5way8shot,None,None,LOSO,fold0,42,0.5,0.5142,"{Block:0.5429,Prolongation:0.5157,SoundRep:0.4994,WordRep:0.4241,Interjection:0.5889}",0.4947,ProtoNet 5-way 8-shot; macro-F1=0.514 (3rd best); best recall 0.638; WordRep-R=0.665 best minority recall,done,results/tables/d8_run_report.json,21,Week 8,Deep,YES,NO,F1,Minority gains with stable global F1,Medium
manual_e1_001,2026-04-01,Phase 3,E1,multi-label,HuBERT-large,pretrained,best-layer,21,PCA,32,None,GCN-Temporal,MultiLabelSoftMarginLoss,None,None,LOSO,fold0,42,0.5,0.4676,"{Block:0.5400,Prolongation:0.4737,SoundRep:0.4363,WordRep:0.2836,Interjection:0.6045}",0.6023,GCN k-NN=10; macro-F1=0.468; BEST AUPRC 0.6023; highest precision 0.675; not converged at ep200,done,results/tables/e1_run_report.json,22,Week 9,Graph,YES,YES,D1,Beats non-graph baseline on >=3 folds,High
manual_e2_001,2026-04-01,Phase 3,E2,multi-label,HuBERT-large,pretrained,best-layer,21,PCA,64,None,Dynamic-GAT,MultiLabelSoftMarginLoss,None,None,LOSO,fold0,42,0.5,0.5153,"{Block:0.5643,Prolongation:0.5285,SoundRep:0.4643,WordRep:0.4015,Interjection:0.6181}",0.6184,GAT 4-head k-NN=10; macro-F1=0.515 (3rd best); NEW BEST AUPRC 0.6184; Interjection AUPRC=0.733,done,results/tables/e2_run_report.json,23,Week 9,Graph,YES,YES,E1,Improves over E1 or offers better stability,High
,,Phase 3,E3,multi-class,HuBERT-large+handcrafted,pretrained,best-layer,best,PCA,32,"SSL+handcrafted",HGNN,BCE/CE,None,None,LOSO,,,,,,,Hypergraph with multi-relational hyperedges,planned,,24,Week 10,Graph,YES,YES,E2|C2,Graph branch continues only if gains persist,High
,,Phase 3,E4,multi-class,HuBERT-large,pretrained,best-layer,best,PCA,32,None,ST-GCN,BCE/CE,None,None,LOSO,,,,,,,Spatial-temporal graph convolution model,planned,,25,Week 10,Graph,YES,YES,E2,Competitive with best graph candidate,High
,,Phase 4,B2,multi-class,HuBERT-large/WavLM-large,pretrained,best-layer,best,KPCA-RBF,32,None,CNN-1D,BCE/CE,None,None,LOSO,,,,,,,Kernel PCA non-linear reduction benchmark,planned,,26,Week 11,Dimensionality,YES,YES,B1,Non-linear reduction beats linear PCA baseline,High
,,Phase 4,B3,multi-class,HuBERT-large,pretrained,best-layer,best,LowRank-MDS,32,None,CNN-1D,BCE/CE,None,None,LOSO,,,,,,,Low-rank MDS reduction benchmark,planned,,27,Week 11,Dimensionality,YES,YES,B1,Maintains separability and improves F1,High
,,Phase 4,B4,multi-class,HuBERT-large,pretrained,best-layer,best,AE-Bottleneck,"32|64|128",None,CNN-1D,BCE/CE,None,None,LOSO,,,,,,,Autoencoder bottleneck compression,planned,,28,Week 11,Dimensionality,YES,YES,B1,Best bottleneck beats PCA baseline,High
,,Phase 4,B5,multi-class,HuBERT-large,pretrained,best-layer,best,VAE,32,None,CNN-1D,BCE/CE,None,None,LOSO,,,,,,,VAE latent space compression,planned,,29,Week 11,Dimensionality,YES,YES,B1,Latent space improves minority stutter F1,High
,,Phase 4,B6,multi-class,HuBERT-large,pretrained,best-layer,best,UMAP,32,None,CNN-1D,BCE/CE,None,None,LOSO,,,,,,,UMAP topology-preserving reduction,planned,,30,Week 12,Dimensionality,YES,YES,B1,Topology gain reflected in classification,High
manual_b7_001,2026-03-25,Phase 4,B7,multi-class,wav2vec2-base,pretrained,best-layer,9,Sparse-PCA,79,None,SparsePCA-diagnostics,unsupervised,None,None,LOSO,fold0,42,,,,,Completed on cached wav2vec2-base layer_9 features; best alpha=0.1 dim=79 test_recon_mse=0.569742,done,results/tables/b7_run_report.json,31,Week 12,Dimensionality,YES,NO,B1,Improves interpretability with no major F1 loss,Medium
,,Phase 4,B8,multi-class,HuBERT-large,pretrained,best-layer,best,ICA,32,None,CNN-1D,BCE/CE,None,None,LOSO,,,,,,,ICA component disentanglement benchmark,planned,,32,Week 12,Dimensionality,YES,NO,B1,Independent components map to acoustic correlates,Medium
,,Phase 4,F2,multi-label,HuBERT-large,pretrained,best-layer,best,PCA,32,None,CNN-1D,BCE,class-balanced,mixup+specaugment,LOSO,,,,,,,Embedding/feature-space augmentation,planned,,33,Week 12,Robustness,YES,YES,F1|F4,Generalization improves on validation folds,High
,,Phase 4,F3,multi-label,HuBERT-large+ECAPA-TDNN,pretrained,best-layer,best,PCA,32,"SSL+speaker-embed",CNN+GRL,BCE,class-balanced,None,LOSO,,,,,,,Adversarial speaker disentanglement,planned,,34,Week 13,Robustness,YES,YES,F1|C6,Speaker-independence improves without F1 regression,Critical
,,Phase 4,F5,multi-label,HuBERT-large,pretrained,best-layer,best,PCA,32,None,CNN-1D,BCE,class-balanced,speed-perturb+pitch-shift,LOSO,,,,,,,Temporal augmentation for robustness,planned,,35,Week 13,Robustness,YES,YES,F1|F4,Robustness gains on held-out speakers,High
,,Post-35,C4,multi-class,HuBERT-large+WavLM-large,pretrained,cross-attention-fusion,multi,None,full,Cross-Attn-SSL,MLP,BCE/CE,None,None,LOSO,,,,,,,Deferred until all core35 are complete,deferred_post35,,36,After Week 13,Fusion,NO,NO,ALL_CORE35_DONE,Run only after core35 sign-off,Post35
,,Post-35,D3,multi-class,log-mel/raw,custom,n/a,n/a,None,full,None,SE-ResNet+BiLSTM,BCE/CE,None,None,LOSO,,,,,,,Deferred until all core35 are complete,deferred_post35,,37,After Week 13,Deep,NO,NO,ALL_CORE35_DONE,Run only after core35 sign-off,Post35
,,Post-35,D6,multi-class,SSL+MFCC,pretrained+handcrafted,n/a,n/a,None,full,SSL+MFCC,TDNN,BCE/CE,None,None,LOSO,,,,,,,Deferred until all core35 are complete,deferred_post35,,38,After Week 13,Deep,NO,NO,ALL_CORE35_DONE,Run only after core35 sign-off,Post35
,,Post-35,D7,multi-class,log-mel,custom,n/a,n/a,None,full,None,Atrous-CNN,BCE/CE,None,None,LOSO,,,,,,,Deferred until all core35 are complete,deferred_post35,,39,After Week 13,Deep,NO,NO,ALL_CORE35_DONE,Run only after core35 sign-off,Post35
,,Post-35,E5,multi-class,HuBERT-large,pretrained,best-layer,best,None,full,None,Graph-Transformer,BCE/CE,None,None,LOSO,,,,,,,Deferred until all core35 are complete,deferred_post35,,40,After Week 13,Graph,NO,NO,ALL_CORE35_DONE,Run only after core35 sign-off,Post35
